" ";"Instrument";"Test";"QC";"QC lot No.";"Target mean";"Target SD";"SDI";"Number of values";"Bias";"Calculated mean";"Calculated SD";"CV%";"Usage"
"";"C6000-A:C1";"GAMMA-GLUTAMYL TRANSFERASE";"s-PCCC 2";"461597";"278.000";"17.000";"-0.408";"45";"-0.025";"271.067";"10.226";"3.772";"Study"
"";"C6000-A:C1";"CREATINE KINASE Gen 2";"s-PCCC 2";"461597";"266.000";"16.000";"-0.411";"36";"-0.025";"259.417";"3.549";"1.368";"Study"
"";"DCA OPD";"HBA1C POC";"DCA HBA1c Normal";"0171";"5.000";"0.550";"0.311";"24";"0.034";"5.171";"0.130";"2.517";"Study"
"";"DCA UCT";"HBA1C POC";"DCA HBA1c Normal";"0171";"5.000";"0.550";"0.444";"18";"0.049";"5.244";"0.150";"2.867";"Study"
"";"DCA OPD";"HBA1C POC";"DCA HBA1c Abnormal";"0171";"10.300";"1.150";"0.442";"24";"0.049";"10.808";"0.375";"3.472";"Study"
"";"DCA UCT";"HBA1C POC";"DCA HBA1c Abnormal";"0171";"10.300";"1.150";"4.920";"19";"0.549";"15.958";"22.049";"138.167";"Study"
"";"C6000-B:C2";"APOPROTEIN A";"s-PCCC 2-B";"461597";"1.780";"0.140";"-0.290";"11";"-0.023";"1.739";"0.098";"5.628";"Study"
"";"C6000-B:C2";"APOPROTEIN B";"s-PCCC 2-B";"461597";"0.886";"0.071";"-0.429";"11";"-0.034";"0.856";"0.010";"1.148";"Study"
"";"C6000-B:C2";"ALPHA 1-ANTITRYPSIN";"s-PCCC 2-B";"461597";"1.230";"0.100";"0.474";"33";"0.039";"1.277";"0.020";"1.568";"Study"
"";"C6000-B:C2";"COMPLEMENT C3";"s-PCCC 2-B";"461597";"1.720";"0.070";"-0.868";"27";"-0.035";"1.659";"0.030";"1.824";"Study"
"";"C6000-B:C2";"COMPLEMENT C4";"s-PCCC 2-B";"461597";"0.243";"0.010";"-1.213";"24";"-0.050";"0.231";"0.003";"1.335";"Study"
"";"C6000-B:C2";"HAPTOGLOBIN";"s-PCCC 2-B";"461597";"1.370";"0.110";"-0.563";"36";"-0.045";"1.308";"0.018";"1.381";"Study"
"";"C6000-B:C2";"IMMUNOGLOBULIN A";"s-PCCC 2-B";"461597";"2.660";"0.210";"0.029";"26";"0.002";"2.666";"0.041";"1.527";"Study"
"";"C6000-B:C2";"IMMUNOGLOBULIN G";"s-PCCC 2-B";"461597";"12.400";"0.700";"0.325";"28";"0.018";"12.628";"0.253";"2.006";"Study"
"";"C6000-B:C2";"ALANINE TRANSAMINASE";"s-PCCC 2-B";"461597";"122.000";"7.000";"-0.476";"41";"-0.027";"118.668";"1.439";"1.212";"Study"
"";"C6000-B:C2";"ASPARTATE TRANSAMINASE";"s-PCCC 2-B";"461597";"149.000";"9.000";"0.109";"33";"0.007";"149.979";"3.613";"2.409";"Study"
"";"C6000-B:C2";"GAMMA-GLUTAMYL TRANSFERASE";"s-PCCC 2-B";"461597";"278.000";"17.000";"-0.228";"40";"-0.014";"274.125";"2.244";"0.819";"Study"
"";"C6000-B:C2";"LACTATE";"s-PCCC 2-B";"461597";"3.790";"0.230";"-0.572";"30";"-0.035";"3.658";"0.034";"0.942";"Study"
"";"C6000-B:C2";"LACTATE DEHYDROGENASE";"s-PCCC 2-B";"461597";"311.000";"12.900";"-0.164";"34";"-0.007";"308.882";"4.395";"1.423";"Study"
"";"C6000-B:C2";"TOTAL PROTEIN";"s-PCCC 2-B";"461597";"81.100";"2.200";"-0.408";"38";"-0.011";"80.203";"0.872";"1.087";"Study"
"";"C6000-B:C2";"C-REACTIVE PROTEIN";"s-PCCC 2-B";"461597";"54.300";"3.600";"-0.010";"37";"-0.001";"54.266";"1.383";"2.549";"Study"
"";"C6000-B:C2";"IMMUNOGLOBULIN M";"s-PCCC 2-B";"461597";"1.110";"0.090";"0.001";"25";"0.000";"1.110";"0.028";"2.513";"Study"
"";"C6000-B:C2";"URIC ACID";"s-PCCC 2-B";"461597";"0.569";"0.028";"0.005";"33";"0.000";"0.569";"0.005";"0.922";"Study"
"";"C6000-B:C2";"LITHIUM";"s-PCCC 2-B";"461597";"1.790";"0.070";"0.084";"34";"0.003";"1.796";"0.046";"2.554";"Study"
"";"LIAISON XL";"Renin";"RENIN L1";"7520320";"22.400";"1.867";"1.378";"49";"0.115";"24.972";"1.392";"5.574";"Study"
"";"LIAISON XL";"Renin";"RENIN L2";"7530320";"102.300";"8.500";"1.045";"42";"0.087";"111.185";"6.292";"5.659";"Study"
"";"C6000-A:E1-1";"ALPHA-FETO PROTEIN";"RIAP L1";"2105EC";"11.300";"1.240";"0.335";"311";"0.037";"11.715";"0.560";"4.779";"Study"
"";"C6000-A:E1-1";"THYROGLOBULIN v2";"RIAP L1";"2105EC";"2.150";"0.120";"-0.424";"302";"-0.024";"2.099";"0.108";"5.159";"Study"
"";"C6000-A:E1-1";"OESTRADIOL III";"RIAP L1";"2105EC";"169.000";"24.400";"0.313";"303";"0.045";"176.634";"19.590";"11.091";"Study"
"";"C6000-A:E1-1";"BETA-HCG";"RIAP L1";"2105EC";"11.100";"0.830";"-0.096";"324";"-0.007";"11.020";"0.514";"4.668";"Study"
"";"C6000-A:E1-1";"Free T4 Gen 3";"RIAP L1";"2105EC";"13.300";"0.530";"-0.407";"131";"-0.016";"13.084";"0.470";"3.590";"Study"
"";"C6000-A:E1-2";"FREE PSA";"RIAP L1";"2105EC";"1.220";"0.092";"0.051";"302";"0.004";"1.225";"0.064";"5.266";"Study"
"";"C6000-A:E1-2";"LUTEINISING HORMONE";"RIAP L1";"2105EC";"3.669";"0.221";"-0.420";"298";"-0.025";"3.576";"0.127";"3.565";"Study"
"";"C6000-A:E1-2";"TRI-IODO THYRONINE";"RIAP L1";"2105EC";"4.400";"0.249";"0.011";"294";"0.001";"4.403";"0.245";"5.556";"Study"
"";"C6000-A:E1-2";"CORTISOL II";"RIAP L1";"2105EC";"196.000";"11.170";"0.129";"300";"0.007";"197.438";"8.182";"4.144";"Study"
"";"C6000-A:E1-2";"CARCINOEMBRYONIC AG";"RIAP L1";"2105EC";"4.180";"0.260";"0.766";"314";"0.048";"4.379";"0.174";"3.964";"Study"
"";"C6000-A:E1-2";"VITAMIN B12 II";"RIAP L1";"2105EC";"167.000";"16.700";"0.241";"436";"0.024";"171.022";"12.719";"7.437";"Study"
"";"C6000-A:E2-1";"CA 19-9";"RIAP L1";"2105EC";"23.900";"1.790";"-0.169";"327";"-0.013";"23.598";"1.550";"6.566";"Study"
"";"C6000-A:E2-1";"FERRITIN";"RIAP L1";"2105EC";"15.700";"1.350";"0.008";"133";"0.001";"15.711";"0.932";"5.935";"Study"
"";"C6000-A:E2-1";"CA 125";"RIAP L1";"2105EC";"18.600";"1.650";"-0.057";"302";"-0.005";"18.505";"0.856";"4.625";"Study"
"";"C6000-A:E2-2";"PROSTATE-SPECIFIC AG";"RIAP L1";"2105EC";"1.600";"0.269";"-0.058";"350";"-0.010";"1.584";"0.114";"7.166";"Study"
"";"C6000-A:E2-2";"DEHYDROEPIANDROSTERONE SULPHAT";"RIAP L1";"2105EC";"2.810";"0.184";"-0.083";"291";"-0.005";"2.795";"0.151";"5.394";"Study"
"";"C6000-A:E2-2";"PROGESTERONE III";"RIAP L1";"2105EC";"3.470";"0.430";"-0.213";"287";"-0.026";"3.378";"0.233";"6.885";"Study"
"";"C6000-A:E2-2";"THYROID STIMULATING HORMONE";"RIAP L1";"2105EC";"0.104";"0.006";"-0.102";"436";"-0.006";"0.103";"0.005";"4.785";"Study"
"";"C6000-A:E2-2";"SEX HORMONE BINDING GLOBULIN";"RIAP L1";"2105EC";"10.930";"0.580";"0.159";"297";"0.008";"11.022";"0.551";"5.000";"Study"
"";"C6000-A:E1-1";"FOLLICLE STIMULATING HORMONE";"RIAP L1";"2105EC";"6.620";"0.350";"0.198";"297";"0.010";"6.689";"0.216";"3.225";"Study"
"";"C6000-A";"LUTEINISING HORMONE";"RIAP L1";"2105EC";"3.510";"0.250";"-0.520";"1";"-0.037";"3.380";"0.000";"0.000";"Study"
"";"C6000-A";"CARCINOEMBRYONIC AG";"RIAP L1";"2105EC";"4.180";"0.260";"-0.769";"1";"-0.048";"3.980";"0.000";"0.000";"Study"
"";"C6000-A";"THYROGLOBULIN v2";"RIAP L1";"2105EC";"2.150";"0.120";"0.083";"1";"0.005";"2.160";"0.000";"0.000";"Study"
"";"C6000-A";"SEX HORMONE BINDING GLOBULIN";"RIAP L1";"2105EC";"10.930";"0.580";"-0.069";"1";"-0.004";"10.890";"0.000";"0.000";"Study"
"";"C6000-A";"ALPHA-FETO PROTEIN";"RIAP L1";"2105EC";"11.300";"1.240";"-1.831";"1";"-0.201";"9.030";"0.000";"0.000";"Study"
"";"C6000-A";"BETA-HCG";"RIAP L1";"2105EC";"11.100";"0.830";"-1.277";"1";"-0.095";"10.040";"0.000";"0.000";"Study"
"";"C6000-A";"CA 125";"RIAP L1";"2105EC";"18.600";"1.650";"0.691";"1";"0.061";"19.740";"0.000";"0.000";"Study"
"";"C6000-A";"CA 19-9";"RIAP L1";"2105EC";"23.900";"1.790";"1.682";"1";"0.126";"26.910";"0.000";"0.000";"Study"
"";"C6000-A";"FERRITIN";"RIAP L1";"2105EC";"15.700";"1.350";"-1.874";"1";"-0.161";"13.170";"0.000";"0.000";"Study"
"";"C6000-A";"DEHYDROEPIANDROSTERONE SULPHAT";"RIAP L1";"2105EC";"2.810";"0.184";"-0.217";"1";"-0.014";"2.770";"0.000";"0.000";"Study"
"";"C6000-A";"C-peptide";"RIAP L1";"2105EC";"2.100";"0.265";"-0.038";"1";"-0.005";"2.090";"0.000";"0.000";"Study"
"";"C6000-A";"TRI-IODO THYRONINE";"RIAP L1";"2105EC";"4.400";"0.249";"0.522";"1";"0.030";"4.530";"0.000";"0.000";"Study"
"";"C6000-A";"FOLLICLE STIMULATING HORMONE";"RIAP L1";"2105EC";"6.620";"0.350";"-0.286";"1";"-0.015";"6.520";"0.000";"0.000";"Study"
"";"C6000-A";"OESTRADIOL III";"RIAP L1";"2105EC";"169.000";"24.400";"0.352";"1";"0.051";"177.600";"0.000";"0.000";"Study"
"";"C6000-A";"CORTISOL II";"RIAP L1";"2105EC";"196.000";"11.170";"-0.519";"1";"-0.030";"190.200";"0.000";"0.000";"Study"
"";"C6000-A";"VITAMIN B12 II";"RIAP L1";"2105EC";"167.000";"16.700";"0.605";"1";"0.060";"177.100";"0.000";"0.000";"Study"
"";"C6000-A";"PROGESTERONE III";"RIAP L1";"2105EC";"3.470";"0.430";"-0.186";"1";"-0.023";"3.390";"0.000";"0.000";"Study"
"";"C6000-A";"THYROID STIMULATING HORMONE";"RIAP L1";"2105EC";"0.104";"0.006";"-1.667";"1";"-0.096";"0.094";"0.000";"0.000";"Study"
"";"C6000-A";"PROSTATE-SPECIFIC AG";"RIAP L1";"2105EC";"1.600";"0.269";"-0.409";"1";"-0.069";"1.490";"0.000";"0.000";"Study"
"";"C6000-A";"FREE PSA";"RIAP L1";"2105EC";"1.220";"0.092";"-0.217";"1";"-0.016";"1.200";"0.000";"0.000";"Study"
"";"C6000-A";"Free T4 Gen 3";"RIAP L1";"2105EC";"13.300";"0.530";"1.075";"1";"0.043";"13.870";"0.000";"0.000";"Study"
"";"C6000-A:E2-2";"C-peptide";"RIAP L1";"2105EC";"2.100";"0.265";"0.013";"382";"0.002";"2.103";"0.091";"4.315";"Study"
"";"C6000-A:E1-1";"CA 125";"RIAP L1";"2105EC";"18.600";"1.650";"-0.242";"3";"-0.022";"18.200";"0.165";"0.908";"Study"
"";"C6000-A:E1-1";"PROSTATE-SPECIFIC AG";"RIAP L1";"2105EC";"1.600";"0.269";"0.087";"3";"0.015";"1.623";"0.042";"2.565";"Study"
"";"C6000-A:E1-1";"FERRITIN";"RIAP L1";"2105EC";"13.500";"1.140";"0.539";"4";"0.046";"14.115";"1.490";"10.558";"Study"
"";"C6000-A:E1-2";"FERRITIN";"RIAP L1";"2105EC";"13.500";"1.140";"0.558";"3";"0.047";"14.137";"1.622";"11.473";"Study"
"";"C6000-A:E1-2";"PROGESTERONE III";"RIAP L1";"2105EC";"3.470";"0.430";"0.012";"4";"0.001";"3.475";"0.114";"3.294";"Study"
"";"C6000-A:E1-2";"C-peptide";"RIAP L1";"2105EC";"2.150";"0.195";"0.436";"6";"0.040";"2.235";"0.371";"16.589";"Study"
"";"C6000-B";"THYROID STIMULATING HORMONE";"RIAP L1";"2105EC";"0.104";"0.006";"-0.333";"1";"-0.019";"0.102";"0.000";"0.000";"In use"
"";"C6000-B:C2";"BICARBONATE";"AMM-N";"587880";"18.800";"1.100";"-0.022";"219";"-0.001";"18.775";"0.931";"4.959";"Study"
"";"C6000-B:C2";"AMMONIA";"AMM-N";"587880";"61.600";"4.100";"0.464";"232";"0.031";"63.501";"2.631";"4.143";"Study"
"";"C6000-B:C2";"LIPOPROTEIN A2";"PC LPA 1";"520719";"44.800";"3.000";"-0.780";"95";"-0.052";"42.460";"2.042";"4.809";"In use"
"";"C6000-B:C2";"LIPOPROTEIN A2";"PC LPA 2";"520720";"112.000";"7.000";"-0.464";"92";"-0.029";"108.754";"6.695";"6.156";"In use"
"";"C6000-A:E2-1";"HIGH-SENSITIVITY TROPONIN T";"PC TN1";"558106";"25.100";"2.260";"0.216";"82";"0.019";"25.588";"0.697";"2.724";"Study"
"";"DCA UCT";"MALB POC";"DCA MALB/ CREAT LOW";"0059";"31.000";"6.200";"-0.177";"5";"-0.035";"29.900";"1.996";"6.676";"In use"
"";"DCA UCT";"CREATP";"DCA MALB/ CREAT LOW";"0059";"9.200";"1.800";"0.011";"5";"0.002";"9.220";"0.526";"5.708";"In use"
"";"DCA UCT";"MALB POC";"DCA MALB/CREAT HIGH";"0059";"212.000";"42.000";"-0.111";"4";"-0.022";"207.350";"5.709";"2.753";"In use"
"";"DCA UCT";"CREATP";"DCA MALB/CREAT HIGH";"0059";"36.000";"7.000";"0.039";"4";"0.008";"36.275";"1.584";"4.367";"In use"
"";"C6000-A:E1-1";"ADRENOCORTICOTROPIC HORMONE";"PC MM1";"523425";"8.870";"0.890";"-0.055";"40";"-0.006";"8.821";"0.456";"5.165";"Study"
"";"C6000-A:E1-1";"ADRENOCORTICOTROPIC HORMONE";"PC MM2";"523426";"205.000";"10.300";"-1.031";"39";"-0.052";"194.382";"9.222";"4.744";"Study"
"";"C6000-A:E1-2";"FREE PSA";"RIAP L2";"2124EC";"9.780";"0.895";"0.251";"75";"0.023";"10.005";"0.286";"2.861";"Study"
"";"C6000-A:E1-2";"CORTISOL II";"RIAP L2";"2124EC";"638.000";"77.000";"0.040";"74";"0.005";"641.069";"36.783";"5.738";"Study"
"";"C6000-A:E1-2";"INSULIN";"RIAP L2";"2124EC";"12.000";"1.500";"-0.097";"98";"-0.012";"11.855";"1.263";"10.657";"Study"
"";"C6000-A:E1-2";"PROLACTIN";"RIAP L2";"2124EC";"29.090";"2.182";"-1.034";"78";"-0.078";"26.833";"2.220";"8.272";"Study"
"";"C6000-A:E1-2";"TRI-IODO THYRONINE";"RIAP L2";"2124EC";"15.300";"0.860";"-0.159";"74";"-0.009";"15.164";"0.541";"3.567";"Study"
"";"C6000-A:E1-2";"VITAMIN B12 II";"RIAP L2";"2124EC";"439.000";"44.000";"-0.061";"115";"-0.006";"436.328";"36.800";"8.434";"Study"
"";"C6000-A:E2-1";"TESTOSTERONE";"RIAP L2";"2124EC";"14.600";"1.450";"-0.153";"78";"-0.015";"14.379";"0.458";"3.188";"Study"
"";"C6000-A:E2-2";"DEHYDROEPIANDROSTERONE SULPHAT";"RIAP L2";"2124EC";"17.200";"1.120";"-0.312";"80";"-0.020";"16.850";"0.838";"4.971";"Study"
"";"C6000-A:E2-2";"PROSTATE-SPECIFIC AG";"RIAP L2";"2124EC";"12.600";"1.900";"-0.051";"99";"-0.008";"12.504";"0.469";"3.750";"Study"
"";"C6000-A:E2-2";"THYROID STIMULATING HORMONE";"RIAP L2";"2124EC";"2.860";"0.170";"0.413";"119";"0.025";"2.930";"0.142";"4.830";"Study"
"";"C6000-A:E2-2";"SEX HORMONE BINDING GLOBULIN";"RIAP L2";"2124EC";"39.300";"4.000";"-0.247";"82";"-0.025";"38.312";"1.807";"4.717";"Study"
"";"C6000-A:E2-2";"SERUM FOLATE III";"RIAP L2";"2124EC";"11.900";"1.004";"0.606";"98";"0.051";"12.508";"1.755";"14.032";"Study"
"";"C6000-A:E2-2";"C-peptide";"RIAP L2";"2124EC";"7.160";"0.785";"-0.606";"105";"-0.066";"6.684";"0.313";"4.689";"Study"
"";"C6000-B:E3-2";"BETA-HCG";"RIAP L1-B";"2105EC";"11.100";"0.833";"0.041";"292";"0.003";"11.134";"0.884";"7.940";"Study"
"";"C6000-B:E3-1";"THYROID STIMULATING HORMONE";"RIAP L1-B";"2105EC";"0.104";"0.006";"0.400";"316";"0.023";"0.106";"0.005";"5.018";"Study"
"";"C6000-B:C2";"PARACETAMOL 2";"RIAP L1-B";"2105EC";"152.000";"7.600";"0.049";"288";"0.002";"152.374";"6.371";"4.181";"Study"
"";"C6000-B:E3-1";"ALPHA-FETO PROTEIN";"RIAP L1-B";"2105EC";"11.300";"1.237";"0.251";"1";"0.027";"11.610";"0.000";"0.000";"Study"
"";"C6000-B:E3-1";"CARCINOEMBRYONIC AG";"RIAP L1-B";"2105EC";"4.180";"0.259";"0.309";"1";"0.019";"4.260";"0.000";"0.000";"Study"
"";"C6000-B:E3-1";"SEX HORMONE BINDING GLOBULIN";"RIAP L1-B";"2105EC";"11.600";"0.580";"-0.034";"1";"-0.002";"11.580";"0.000";"0.000";"Study"
"";"C6000-B:E3-1";"DEHYDROEPIANDROSTERONE SULPHAT";"RIAP L1-B";"2105EC";"2.180";"0.184";"3.804";"2";"0.321";"2.880";"0.085";"2.946";"Study"
"";"C6000-B:C2";"ADENOSINE DEAMINASE FLUID";"ADA 0";"L01210";"10.200";"0.567";"0.878";"49";"0.049";"10.698";"0.297";"2.775";"Study"
"";"C6000-B:C2";"ADENOSINE DEAMINASE FLUID";"ADA 1";"102210";"31.100";"1.760";"0.818";"67";"0.046";"32.540";"0.964";"2.964";"Study"
"";"C6000-B:C2";"ADENOSINE DEAMINASE FLUID";"ADA 2";"202210";"151.400";"8.560";"0.484";"102";"0.027";"155.545";"5.983";"3.846";"Study"
"";"OSMO1";"Osmolality";"Serim BIOLIQ 1";"45871";"306.000";"5.500";"-0.003";"240";"0.000";"305.983";"2.778";"0.908";"In use"
"";"C6000-B:E3-1";"HIGH-SENSITIVITY TROPONIN T";"PC TN1-B";"558106";"25.100";"2.260";"-0.378";"86";"-0.034";"24.246";"0.496";"2.047";"Study"
"";"C6000-B:ISE1";"SODIUM URINE";"Bio-liq1";"88161";"77.400";"4.850";"0.035";"165";"0.002";"77.570";"1.961";"2.528";"Study"
"";"C6000-B:ISE1";"POTASSIUM URINE";"Bio-liq1";"88161";"30.200";"0.900";"0.692";"144";"0.021";"30.823";"0.606";"1.968";"Study"
"";"C6000-B:ISE1";"CHLORIDE URINE";"Bio-liq1";"88161";"89.600";"6.150";"0.702";"165";"0.048";"93.919";"2.093";"2.229";"Study"
"";"C6000-B:C2";"CALCIUM URINE";"Bio-liq1";"88161";"1.790";"0.147";"0.244";"122";"0.020";"1.826";"0.045";"2.447";"Study"
"";"C6000-B:C2";"MAGNESIUM URINE";"Bio-liq1";"88161";"1.640";"0.090";"0.132";"126";"0.007";"1.652";"0.105";"6.358";"Study"
"";"C6000-B:C2";"INORGANIC PHOSPHATE URINE";"Bio-liq1";"88161";"8.160";"0.435";"0.326";"113";"0.017";"8.302";"0.170";"2.051";"Study"
"";"C6000-B:C2";"UREA URINE";"Bio-liq1";"88161";"149.000";"9.500";"0.264";"136";"0.017";"151.508";"5.226";"3.450";"Study"
"";"C6000-B:C2";"URIC ACID URINE";"Bio-liq1";"88161";"0.847";"0.050";"0.139";"104";"0.008";"0.854";"0.021";"2.474";"Study"
"";"C6000-B";"SODIUM URINE";"Bio-liq1";"88161";"77.400";"3.233";"0.804";"1";"0.034";"80.000";"0.000";"0.000";"Study"
"";"C6000-B";"UREA URINE";"Bio-liq1";"88161";"149.000";"6.333";"0.063";"1";"0.003";"149.400";"0.000";"0.000";"Study"
"";"C6000-B";"URIC ACID URINE";"Bio-liq1";"88161";"0.847";"0.033";"0.606";"1";"0.024";"0.867";"0.000";"0.000";"Study"
"";"C6000-B";"CALCIUM URINE";"Bio-liq1";"88161";"1.790";"0.147";"0.204";"1";"0.017";"1.820";"0.000";"0.000";"Study"
"";"C6000-B";"CHLORIDE URINE";"Bio-liq1";"88161";"89.600";"4.117";"1.482";"1";"0.068";"95.700";"0.000";"0.000";"Study"
"";"C6000-B:C2";"GLYCATED HAEMOGLOBIN (NGSP)";"PCA1P";"509113";"10.700";"0.320";"0.500";"110";"0.015";"10.860";"0.122";"1.126";"Study"
"";"C6000-B:C2";"RHD3";"PPA1c H";"509113";"10.800";"0.320";"-0.230";"51";"-0.007";"10.726";"0.238";"2.216";"Study"
"";"LIAISON XL";"ALDO";"ALDO L1";"227012";"181.440";"18.190";"0.432";"51";"0.043";"189.294";"18.937";"10.004";"In use"
"";"C6000-A:E1-2";"PROCALCITONIN (SENSITIVE)";"PC PCT2";"577646";"9.180";"0.550";"-0.677";"33";"-0.041";"8.808";"0.355";"4.033";"Study"
"";"C6000-A:E1-2";"PROCALCITONIN (SENSITIVE)";"PC PCT1";"577640";"0.480";"0.030";"-0.607";"33";"-0.038";"0.462";"0.015";"3.161";"Study"
"";"LIAISON XL";"ALDO";"ALDO L2";"228012";"720.000";"73.000";"0.279";"48";"0.028";"740.333";"45.766";"6.182";"In use"
"";"C6000-B:E3-2";"CMV IGG";"PC CMVIGG1";"559553";"1.290";"0.050";"-0.647";"292";"-0.025";"1.258";"0.066";"5.265";"Study"
"";"C6000-B:E3-2";"CMV IGG";"PC CMVIGG2";"559555";"23.406";"0.500";"-1.581";"295";"-0.034";"22.616";"1.547";"6.840";"Study"
"";"C6000-B:E4-1";"SYPHILIS";"PC Syph 2";"582585";"5.512";"0.400";"0.133";"702";"0.010";"5.566";"0.535";"9.605";"Study"
"";"C6000-B:E4-2";"SYPHILIS";"PC Syph 2";"582585";"5.560";"0.400";"0.030";"694";"0.002";"5.573";"0.540";"9.684";"Study"
"";"C6000-B:E3-1";"SYPHILIS";"PC Syph 2";"582585";"5.510";"0.400";"0.650";"14";"0.047";"5.770";"0.123";"2.135";"Study"
"";"C6000-B:E3-2";"SYPHILIS";"PC Syph 2";"582585";"5.510";"0.400";"0.720";"14";"0.052";"5.798";"0.164";"2.822";"Study"
